time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1654073179,20220601,14471773624,13459000,55%,29908000,8880,26,normal,13,81
1655452791,20220617,14471773624,13459000,55%,29908000,8874,22,normal,17,90
1655516598,20220618,14471773624,13459000,55%,29908000,8874,22,normal,17,90
1655569416,20220618,14471773624,13459000,55%,29908000,8874,21,normal,17,90
1655603318,20220619,14471773624,13459000,55%,29908000,8874,21,normal,17,90
1655610016,20220619,14471773624,13459000,55%,29908000,8874,21,normal,17,92
1655653270,20220619,14471773624,13459000,55%,29908000,8874,21,normal,17,91
1655671195,20220619,14471773624,13459000,55%,29908000,8874,21,normal,17,92
1655673339,20220619,14471773624,13459000,55%,29908000,8874,21,normal,17,93
1655689426,20220620,14471773624,13459000,55%,29908000,8874,21,normal,17,93
1655742548,20220620,14471773624,13459000,55%,29908000,8874,22,normal,17,93
1655756677,20220620,14471773624,13459000,55%,29908000,8874,22,normal,18,93
1655763427,20220620,14471773624,13459000,55%,29908000,8874,22,normal,18,92
1655775924,20220621,14471773624,13459000,55%,29908000,8873,22,normal,18,92
1655786259,20220621,14471773624,13459000,55%,29908000,8873,22,normal,18,91
1655828961,20220621,14471773624,13459000,55%,29908000,8873,23,normal,18,92
1655862800,20220622,14471773624,13459000,55%,29908000,8873,23,normal,18,92
1655869009,20220622,14471773624,13459000,55%,29908000,8873,23,normal,18,93
1655939868,20220622,14471773624,13459000,55%,29908000,8872,23,normal,18,93
