time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1668769974,20221118,22003303123,22562000,50%,45124000,9998,0,normal,0,98
1668778548,20221118,22003303123,22562000,50%,45124000,9997,0,normal,0,98
1668797182,20221118,22003303123,22562000,50%,45124000,9997,0,normal,0,99
1668802742,20221118,22003303123,22562000,50%,45124000,9997,0,normal,0,100
1668804011,20221118,22003303123,22562000,50%,45124000,9997,0,normal,0,101
1668806163,20221118,22003303123,22562000,50%,45124000,9997,0,normal,0,100
1668807492,20221118,22003303123,22562000,50%,45124000,9997,0,normal,0,101
1668809865,20221118,22003303123,22562000,50%,45124000,9996,0,normal,0,102
1668814792,20221118,22003303123,22562000,50%,45124000,9996,0,normal,0,101
1668822002,20221119,22003303123,22562000,50%,45124000,9996,0,normal,0,103
1668861109,20221119,22003303123,22562000,50%,45124000,9996,0,normal,0,104
1668864380,20221119,22003303123,22562000,50%,45124000,9997,0,normal,0,104
1668871061,20221119,22003303123,22562000,50%,45124000,9997,0,normal,0,105
1668875037,20221119,22003303123,22562000,50%,45124000,9997,0,normal,0,106
1668882061,20221119,22003303123,22562000,50%,45124000,9996,0,normal,0,106
1668897595,20221119,22003303123,22562000,50%,45124000,9997,0,normal,0,107
1668908693,20221120,22003303123,22562000,50%,45124000,9997,0,normal,0,108
1668914351,20221120,22003303123,22562000,50%,45124000,9996,0,normal,0,109
1668916691,20221120,22003303123,22562000,50%,45124000,9996,0,normal,0,110
1668942837,20221120,22003303123,22562000,50%,45124000,9995,0,normal,0,110
1668953723,20221120,22003303123,22562000,50%,45124000,9995,0,normal,0,111
1668955083,20221120,22003303123,22562000,50%,45124000,9995,0,normal,0,112
1668957448,20221120,22003303123,22562000,50%,45124000,9995,0,normal,1,112
1668973039,20221120,22003303123,22562000,50%,45124000,9995,1,normal,1,113
1668978901,20221120,22003303123,22562000,50%,45124000,9994,1,normal,1,114
1668982588,20221120,22003303123,22562000,50%,45124000,9993,1,normal,1,115
1668994897,20221121,22003303123,22562000,50%,45124000,9993,1,normal,1,116
